2015-04-01T01:09:23.286-0700: 13172363.358: [CMS-concurrent-preclean: 0.034/0.034 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2015-04-01T01:09:27.528-0700: 13172367.600: [CMS-concurrent-abortable-preclean: 2.383/4.242 secs] [Times: user=2.83 sys=0.19, real=4.24 secs] 
2015-04-01T01:09:27.529-0700: 13172367.602: [GC[YG occupancy: 248631 K (440896 K)]13172367.602: [Rescan (parallel) , 0.0099960 secs]13172367.612: [weak refs processing, 0.0029110 secs] [1 CMS-remark: 8505436K(12093056K)] 8754068K(12533952K), 0.0132970 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
2015-04-01T01:09:28.358-0700: 13172368.431: [CMS-concurrent-sweep: 0.815/0.815 secs] [Times: user=0.88 sys=0.04, real=0.81 secs] 
2015-04-01T01:09:28.391-0700: 13172368.464: [CMS-concurrent-reset: 0.033/0.033 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
: 440864K->48959K(440896K), 0.0175590 secs] 3933139K->3606445K(12533952K), 0.0177740 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
: 440865K->48958K(440896K), 0.0173270 secs] 3998351K->3672113K(12533952K), 0.0176320 secs] [Times: user=0.28 sys=0.00, real=0.01 secs] 
: 440894K->48960K(440896K), 0.0154960 secs] 4064049K->3732823K(12533952K), 0.0157180 secs] [Times: user=0.26 sys=0.00, real=0.02 secs] 
: 440706K->48935K(440896K), 0.0222850 secs] 4124569K->3795973K(12533952K), 0.0225230 secs] [Times: user=0.29 sys=0.00, real=0.02 secs] 
: 440871K->48960K(440896K), 0.0198930 secs] 4187909K->3860413K(12533952K), 0.0200790 secs] [Times: user=0.25 sys=0.01, real=0.02 secs] 
: 440856K->48960K(440896K), 0.0203430 secs] 4252310K->3925904K(12533952K), 0.0205800 secs] [Times: user=0.29 sys=0.01, real=0.03 secs] 
: 440703K->48930K(440896K), 0.0196860 secs] 4317647K->3990857K(12533952K), 0.0199210 secs] [Times: user=0.26 sys=0.01, real=0.02 secs] 
: 440866K->48937K(440896K), 0.0202030 secs] 4382793K->4056244K(12533952K), 0.0207760 secs] [Times: user=0.22 sys=0.01, real=0.02 secs] 
: 440873K->48914K(440896K), 0.0238110 secs] 4448180K->4121781K(12533952K), 0.0240310 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
: 440850K->48960K(440896K), 0.0311290 secs] 4513717K->4188146K(12533952K), 0.0313610 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
: 440737K->48943K(440896K), 0.0212720 secs] 4579924K->4251512K(12533952K), 0.0215060 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
: 440776K->48960K(440896K), 0.0183640 secs] 4643344K->4316859K(12533952K), 0.0185550 secs] [Times: user=0.26 sys=0.00, real=0.02 secs] 
: 440779K->48947K(440896K), 0.0220380 secs] 4708678K->4382165K(12533952K), 0.0222840 secs] [Times: user=0.34 sys=0.00, real=0.02 secs] 
